,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:2000630,BP,GO:2000630,positive regulation of miRNA metabolic process,17/1423,61/13600,0.278688524590164,2.66350241351105,4.45123827392628,0.000118952212509171,0.0218448295371265,0.0195907004447914,ZSWIM8/HRAS/NEAT1/FOSL1/SREBF1/TGFB1/NR1H2/NOTCH2/POU2F1/JUN/SREBF2/PNPT1/PPARG/GATA2/MYB/SRF/XIST,17
GO:2000036,BP,GO:2000036,regulation of stem cell population maintenance,17/1423,63/13600,0.26984126984127,2.5789467813361,4.29400293030115,0.000183352013815317,0.025614398063897,0.0229712939023217,TET1/KDM2B/BCL7A/CNOT2/ING1/ZC3H13/CNOT1/CNOT3/ARID4B/ARID1A/NCOA3/WDR43/SMARCC1/SAP30L/BICRAL/BCL7B/SMARCA2,17
GO:0043502,BP,GO:0043502,regulation of muscle adaptation,17/1423,65/13600,0.261538461538462,2.4995945726796,4.14273536860386,0.000276237278908064,0.0285294362583394,0.0255855344920865,CAMK2G/FOXO1/MIR17HG/MEF2A/CTDP1/TNNT1/ATP2B4/SELENON/PPARA/HDAC4/PPARG/FOXP1/PPP3CA/IL6ST/JARID2/GTF2IRD1/NR4A3,17
GO:0043370,BP,GO:0043370,regulation of CD4-positive, alpha-beta T cell differentiation,15/1423,58/13600,0.258620689655172,2.47170862917101,3.83954898132131,0.000706326673345076,0.044734803572446,0.0401186987865897,ASCL2/IL4R/RARA/MALT1/JAK3/RC3H1/RUNX1/EP300/CD86/OPA1/SH3RF1/CD83/IRF4/RIPK2/SHB,15
GO:0000079,BP,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,14/1423,53/13600,0.264150943396226,2.52456277595831,3.80143409038277,0.000839256461395908,0.0481295335904871,0.0431631326541717,CCNY/PTEN/CDKN1B/CCND2/CCNT1/LATS2/CDC37/CCNT2/ADAM17/CDC25A/APC/LATS1/CCND3/CDKN2A,14
GO:0045912,BP,GO:0045912,negative regulation of carbohydrate metabolic process,13/1423,46/13600,0.282608695652174,2.70096855999267,3.95027422868142,0.0006358254655806,0.0447282020853766,0.0401127784952252,TCF7L2/SELENOS/CBFA2T3/USP7/GIT1/CLTC/TGFB1/EP300/PPARA/HDAC4/GSK3B/PPP2CA/GRB10,13
GO:0048384,BP,GO:0048384,retinoic acid receptor signaling pathway,12/1423,28/13600,0.428571428571429,4.0959742997691,5.60583384103565,1.00981863464054e-05,0.00409831008951036,0.0036754127633273,CTBP2/RARG/NR2C1/PML/CNOT1/THRA/RARA/DHRS3/NCOA3/CRKL/PPARG/RXRA,12
GO:0033032,BP,GO:0033032,regulation of myeloid cell apoptotic process,11/1423,29/13600,0.379310344827586,3.62517265611748,4.83767545607625,9.18138138685027e-05,0.0186311416142392,0.016708627260685,IRF7/SELENOS/NOD2/NF1/THRA/STAT5B/BCL2/FCAR/ADAM17/MEF2C/CDKN2A,11
GO:0014888,BP,GO:0014888,striated muscle adaptation,11/1423,31/13600,0.354838709677419,3.39129054927119,4.55643371841325,0.000184485808648235,0.025614398063897,0.0229712939023217,INPP5F/CAMK2G/FOXO1/NFATC1/TNNT1/ATP2B4/CFLAR/HDAC4/PPARG/PPP3CA/GTF2IRD1,11
GO:0033028,BP,GO:0033028,myeloid cell apoptotic process,11/1423,36/13600,0.305555555555556,2.92027797298352,3.94373063445964,0.000800885995412793,0.0474772417055943,0.0425781496082851,IRF7/SELENOS/NOD2/NF1/THRA/STAT5B/BCL2/FCAR/ADAM17/MEF2C/CDKN2A,11
GO:2000114,BP,GO:2000114,regulation of establishment of cell polarity,9/1423,21/13600,0.428571428571429,4.0959742997691,4.85354302657949,0.000133681742507761,0.022778235898901,0.0204277902648657,KIF20B/ABL2/RUFY3/RICTOR/RIPOR2/KRIT1/ARFGEF1/DOCK8/KANK1,9
GO:0032878,BP,GO:0032878,regulation of establishment or maintenance of cell polarity,9/1423,24/13600,0.375,3.58397751229796,4.3310601960855,0.000444703323147147,0.0384631923430221,0.0344942439611118,KIF20B/ABL2/RUFY3/RICTOR/RIPOR2/KRIT1/ARFGEF1/DOCK8/KANK1,9
GO:0007549,BP,GO:0007549,sex-chromosome dosage compensation,8/1423,21/13600,0.380952380952381,3.6408660442392,4.14007214921121,0.000821154003114804,0.0476088848399308,0.0426962087218166,KAT8/SMCHD1/LRIF1/SPEN/HNRNPU/JARID2/CDYL/XIST,8
GO:0009048,BP,GO:0009048,dosage compensation by inactivation of X chromosome,8/1423,21/13600,0.380952380952381,3.6408660442392,4.14007214921121,0.000821154003114804,0.0476088848399308,0.0426962087218166,KAT8/SMCHD1/LRIF1/SPEN/HNRNPU/JARID2/CDYL/XIST,8
